OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2025-10-16T04:51:38.108160,15.49149277,.0004212,51.6331,67.3223,296.3293,63.7263,0,U,25544,999,53393,.22595E-3,.12084E-3,0
CSS (TIANHE),2021-035A,2025-10-16T05:11:13.802208,15.61887520,.0003298,41.4666,6.2370,250.8886,109.1596,0,U,48274,999,25504,.3986E-3,.3548E-3,0
ISS (NAUKA),2021-066A,2025-10-15T19:34:16.564800,15.49140674,.00041861,51.6330,69.2378,294.4755,65.5797,0,U,49044,999,23044,.23086409E-3,.12353E-3,0
FREGAT DEB,2011-037PF,2025-10-16T01:38:56.037696,12.33736220,.0909055,51.6246,9.9634,98.9773,271.4959,0,U,49271,999,19481,.46233E-2,.2261E-4,0
CSS (WENTIAN),2022-085A,2025-10-15T21:30:50.870304,15.61865174,.00032852,41.4666,8.1859,249.4096,110.6391,0,U,53239,999,17384,.41900082E-3,.37289E-3,0
CSS (MENGTIAN),2022-143A,2025-10-15T21:30:50.870304,15.61865174,.00032852,41.4666,8.1859,249.4096,110.6391,0,U,54216,999,15864,.41900082E-3,.37289E-3,0
SOYUZ-MS 27,2025-072A,2025-10-15T19:34:16.564800,15.49140674,.00041861,51.6330,69.2378,294.4755,65.5797,0,U,63520,999,2020,.23086409E-3,.12353E-3,0
SHENZHOU-20 (SZ-20),2025-082A,2025-10-15T21:30:50.870304,15.61865174,.00032852,41.4666,8.1859,249.4096,110.6391,0,U,63632,999,23717,.41900082E-3,.37289E-3,0
PROGRESS-MS 31,2025-146A,2025-10-15T19:34:16.564800,15.49140674,.00041861,51.6330,69.2378,294.4755,65.5797,0,U,64751,999,675,.23086409E-3,.12353E-3,0
TIANZHOU-9,2025-149A,2025-10-15T21:30:50.870304,15.61865174,.00032852,41.4666,8.1859,249.4096,110.6391,0,U,64786,999,511,.41900082E-3,.37289E-3,0
CREW DRAGON 11,2025-166A,2025-10-15T19:34:16.564800,15.49140674,.00041861,51.6330,69.2378,294.4755,65.5797,0,U,65077,999,214,.23086409E-3,.12353E-3,0
DRAGON CRS-33,2025-186A,2025-10-15T19:34:16.564800,15.49140674,.00041861,51.6330,69.2378,294.4755,65.5797,0,U,65304,999,11,.23086409E-3,.12353E-3,0
PROGRESS-MS 32,2025-204A,2025-10-15T19:34:16.564800,15.49140674,.00041861,51.6330,69.2378,294.4755,65.5797,0,U,65586,999,27,.23086409E-3,.12353E-3,0
CYGNUS NG-23,2025-208A,2025-10-15T19:34:16.564800,15.49140674,.00041861,51.6330,69.2378,294.4755,65.5797,0,U,65616,999,22,.23086409E-3,.12353E-3,0
DRAGONFLY,1998-067XH,2025-10-15T16:30:34.133184,15.56088163,.00008967,51.6315,69.1395,87.6023,272.5071,0,U,65729,999,408,.13667364E-2,.97945E-3,0
1998-067XJ,1998-067XJ,2025-10-15T15:48:04.821696,15.59990499,.0006017,51.6307,68.9415,326.8981,33.1635,0,U,65730,999,408,.22241E-2,.187168E-2,0
1998-067XK,1998-067XK,2025-10-15T02:49:13.737504,15.54961639,.00022093,51.6323,72.0812,327.2490,32.8364,0,U,65731,999,399,.10067521E-2,.68823E-3,0
RSP-03,1998-067XL,2025-10-14T19:01:15.155328,15.55409228,.00024491,51.6310,73.6591,323.7003,36.3822,0,U,65732,999,395,.10376372E-2,.72164E-3,0
GHS-01,1998-067XM,2025-10-15T17:59:10.567968,15.56443812,.00007563,51.6316,68.8001,68.2411,291.8661,0,U,65733,999,410,.14635976E-2,.106432E-2,0
YOTSUBA-KULOVER,1998-067XN,2025-10-15T10:12:22.038048,15.51052422,.0002775,51.6321,71.1332,223.5449,136.5321,0,U,65941,999,78,.10158912E-2,.60187E-3,0
E-KAGAKU-1,1998-067XP,2025-10-15T21:01:17.099040,15.51300148,.0003548,51.6326,68.8918,262.0077,98.0510,0,U,65942,999,85,.12872843E-2,.77245E-3,0
BOTAN,1998-067XQ,2025-10-15T10:12:07.333632,15.51098333,.00037407,51.6323,71.1318,255.7962,104.2611,0,U,65943,999,78,.99215003E-3,.58863E-3,0
